LC1,LU1,CLC3,Representativeness,Note
A11,U111,111,1,
A11,U113,111,0,U113 Kitchen garden
A11,U120,121,0,U120 Forestry
A11,U130,121,1,
A11,U140,121,1,
A11,U150,121,0,U150 Hunting
A11,U210,121,1,
A11,U221,121,1,
A11,U222,121,1,
A11,U223,121,1,
A11,U224,121,1,
A11,U225,121,1,
A11,U226,121,1,
A11,U227,121,1,
A11,U228,121,1,
A11,U311,111,1,U311 Railway transport
A11,U312,111,1,U312 Road transport
A11,U313,111,1,"U313 Water transport, 123 port areas?"
A11,U314,111,1,124 Airports?
A11,U316,121,1,
A11,U317,121,1,
A11,U318,121,1,U318 Protection infrastructure
A11,U319,121,1,
A11,U321,121,1,
A11,U322,121,1,
A11,U330,133,1,U330 Construction
A11,U340,121,1,
A11,U341,121,1,
A11,U342,121,1,
A11,U350,121,1,
A11,U361,142,1,
A11,U362,142,1,
A11,U363,142,1,U362 Holiday camps (suppressed)
A11,U364,111,0,U364 Nature reserve (suppressed)
A11,U370,111,1,
A11,U400,990,0,U400 Unused and abandoned areas
A11,U410,990,0,U410 Abandoned areas
A11,U411,121,0,U411 Abandoned industrial areas
A11,U412,121,0,U412 Abandoned commercial areas
A11,U413,111,0,U413 Abandoned transport areas
A11,U414,111,0,U414 Abandoned residential areas
A11,U415,990,0,U415 Other abandoned areas
A12,U111,111,1,
A12,U140,121,1,
A12,U150,121,1,U150 Hunting
A12,U210,121,1,
A12,U221,121,1,
A12,U222,121,1,
A12,U223,121,1,
A12,U224,121,1,
A12,U225,121,1,
A12,U226,121,1,
A12,U227,121,1,
A12,U228,121,1,
A12,U311,111,1,U311 Railway transport
A12,U312,111,1,U312 Road transport
A12,U314,111,1,124 Airports?
A12,U316,121,1,
A12,U317,121,1,
A12,U318,121,1,U318 Protection infrastructure
A12,U319,121,1,
A12,U321,121,1,
A12,U322,121,1,
A12,U330,133,1,U330 Construction
A12,U340,121,1,
A12,U341,121,1,
A12,U342,121,1,
A12,U350,121,1,
A12,U361,142,1,
A12,U362,142,1,
A12,U370,111,1,
A12,U400,990,0,U400 Unused and abandoned areas
A12,U410,990,0,U410 Abandoned areas
A12,U411,121,0,U411 Abandoned industrial areas
A12,U412,121,0,U412 Abandoned commercial areas
A12,U415,990,0,U415 Other abandoned areas
A13,0,990,0,
A13,U111,211,1,
A13,U112,990,0,U112 Fallow land
A13,U113,211,0,Patchy
A13,U330,990,0,
A13,U340,990,0,
A13,U341,990,0,
A13,U350,990,0,
A13,U362,990,0,
A13,U370,990,0,
A13,U400,990,0,
A13,U410,990,0,
A13,U415,990,0,
A21,U111,111,1,
A21,U120,121,1,
A21,U130,121,1,
A21,U140,121,1,
A21,U150,121,1,
A21,U210,121,1,
A21,U221,121,1,
A21,U222,121,1,
A21,U223,121,1,
A21,U224,121,1,
A21,U225,121,1,
A21,U226,121,1,
A21,U227,121,1,
A21,U228,121,1,
A21,U311,111,1,
A21,U312,111,1,
A21,U313,111,1,
A21,U314,111,1,124 Airports?
A21,U315,111,1,U315 Transport via pipelines
A21,U316,121,1,
A21,U317,121,1,
A21,U318,121,1,U318 Protection infrastructures
A21,U319,121,1,
A21,U321,121,1,
A21,U322,121,1,
A21,U330,111,1,
A21,U340,121,1,
A21,U341,121,1,
A21,U342,121,1,
A21,U350,121,1,
A21,U361,142,1,
A21,U362,142,1,
A21,U363,142,1,
A21,U364,111,0,
A21,U370,111,1,
A21,U400,990,0,
A21,U410,990,0,
A21,U411,121,0,
A21,U412,121,0,
A21,U413,111,0,
A21,U414,111,0,
A21,U415,990,0,
A22,U111,122,1,
A22,U120,122,1,
A22,U130,122,1,
A22,U140,122,1,
A22,U150,122,1,
A22,U210,122,1,
A22,U221,122,1,
A22,U222,122,1,
A22,U223,122,1,
A22,U224,122,1,
A22,U225,122,1,
A22,U226,122,1,
A22,U227,122,1,
A22,U311,122,1,
A22,U312,122,1,
A22,U313,122,1,
A22,U314,124,1,
A22,U315,122,1,
A22,U317,122,1,
A22,U318,122,1,
A22,U319,122,1,
A22,U321,122,1,
A22,U322,122,1,
A22,U330,122,1,
A22,U340,122,1,
A22,U341,122,1,
A22,U342,122,1,
A22,U350,122,1,
A22,U361,122,1,
A22,U362,122,1,
A22,U363,122,1,
A22,U364,122,1,
A22,U370,122,1,
A22,U400,122,1,
A22,U410,122,1,
A22,U411,122,1,
A22,U412,122,1,
A22,U413,122,1,
A22,U415,122,1,
A30,U111,990,0,
A30,U120,990,0,
A30,U140,990,0,
A30,U210,121,1,
A30,U221,990,0,
A30,U223,990,0,
A30,U225,990,0,
A30,U226,990,0,
A30,U227,990,0,
A30,U311,122,1,
A30,U312,122,1,
A30,U313,990,0,
A30,U315,990,0,
A30,U316,990,0,
A30,U317,990,0,
A30,U318,990,0,
A30,U319,990,0,
A30,U321,990,0,
A30,U322,132,1,
A30,U330,990,0,
A30,U341,990,0,
A30,U350,990,0,
A30,U361,990,0,
A30,U362,990,0,
A30,U370,111,1,Residential
A30,U410,132,1,
A30,U411,990,0,
A30,U413,990,0,
A30,U415,990,0,
A30,U420,990,0,
B11,U111,211,1,-
